x,y,ball_type,score
364.66666666666663,382.3579147646938,red,100.0
364.66666666666663,383.06751640273325,red,100.0
363.3333333333333,373.0037041972667,red,100.0
362.67999999999995,368.1785549105881,red,100.0
362.0397333333333,363.5211292096431,red,0
361.4122719999999,359.028072622717,red,0
360.79735989333324,354.6960977675294,red,0
360.19474602879995,350.52198300944553,red,0
359.60418444155727,346.50257114652334,red,0
359.0254340860595,342.6347681208596,red,0
358.4582587376716,338.9155417557091,red,0
357.9024268962515,335.3419205178617,red,0
357.3577116916598,331.9109923047712,red,0
356.82389079116,328.61990325594246,red,0
356.3007463086701,325.46585658809033,red,0
355.78806471583,322.4461114535953,red,0
355.2856367548467,319.5579818217901,red,0
335.3333333333333,470.07122059999995,white,0
335.3333333333333,470.21223738799995,white,0
335.3333333333333,470.4216544402399,white,0
335.3333333333333,470.69810375143504,white,0
335.3333333333333,471.04024467640636,white,0
336.66666666666663,469.0309759235936,white,0
337.32,468.1525529287153,white,0
337.96026666666666,467.3629189937345,white,0
338.58772799999997,466.66029833745347,white,0
339.20264010666665,466.04295069429793,white,0
339.8052539712,465.5091706040056,white,0
340.3958155584427,465.05728671551907,white,0
340.97456591394047,464.68566110480225,white,0
341.54174126232834,464.3926886062998,white,0
342.09757310374846,464.1767961577674,white,0
342.64228830834014,464.03644215820566,white,0
343.17610920884,463.9701158386352,white,0
343.6992536913299,463.9763366454561,white,0
344.21193528416995,464.0536536361406,white,0
344.71436324515327,464.2006448870114,white,0
336.66666666666663,470.07122059999995,white,0
336.66666666666663,470.21223738799995,white,0
336.66666666666663,470.4216544402399,white,0
336.66666666666663,470.69810375143504,white,0
336.66666666666663,471.04024467640636,white,0
336.66666666666663,471.4467633828782,white,0
370.0,328.07122059999995,white,110.0
376.0,282.73788726666663,white,30.0
482.0,260.07122059999995,white,10.0
370.0,328.21223738799995,white,110.0
377.3333333333333,282.66666666666663,white,30.0
482.0,260.21223738799995,white,10.0
370.0,328.42165444024,white,110.0
377.9866666666667,282.7378872666667,white,30.0
482.0,260.42165444024,white,10.0
370.0,328.69810375143516,white,110.0
378.62693333333334,282.8789040546667,white,30.0
482.0,260.69810375143516,white,10.0
370.0,329.0402446764065,white,110.0
379.2543946666667,283.0883211069067,white,30.0
482.0,261.0402446764065,white,10.0
370.0,329.4467633828783,white,110.0
379.8693067733334,283.3647704181019,white,30.0
480.66666666666663,260.36430925692684,white,10.0
370.0,329.91637231522077,white,110.0
380.4719206378667,283.7069113430732,white,30.0
480.0133333333333,260.1392195953818,white,10.0
370.0,330.4478096689163,white,110.0
381.06248222510936,284.11343004954506,white,30.0
479.3730666666666,259.9898523270677,white,10.0
370.0,331.039838875538,white,110.0
381.64123258060715,284.5830389818875,white,30.0
478.7456053333333,259.91469300411984,white,10.0
370.0,331.69124809802724,white,110.0
382.20840792899503,285.11447633558316,white,30.0
485.2543946666667,261.4898609292134,white,10.0
370.0,332.40084973606673,white,110.0
382.76423977041514,285.7065055422048,white,30.0
488.4437014400001,262.36781190650925,white,10.0
370.0,333.1674799413454,white,110.0
383.3089549750068,286.3579147646941,white,30.0
491.5692220778668,263.29942446425923,white,0.0
370.0,333.9899981425185,white,110.0
383.8427758755066,287.06751640273353,white,30.0
494.63223230297626,264.28362537085417,white,0.0
370.0,334.86728657966813,white,110.0
384.3659203579965,287.83414660801225,white,30.0
497.6339823235834,265.3193628593172,white,0.0
370.0,335.79824984807476,white,110.0
384.87860195083664,288.6566648091853,white,30.0
500.5756973437784,266.405606198011,white,0.0
385.38102991181995,289.53395324633493,white,30.0
503.4585780635696,267.5413452699309,white,0.0
460.5414219364304,251.19654199673573,white,0
502.1252447302362,268.8746786032642,white,0
522.501317899201,277.64308423446323,white,0
542.4698696047866,286.3073423530382,white,0
562.0390502762605,294.86953590924173,white,0
581.2168473343048,303.33170619432116,white,0
600.0110884511882,311.695853673699,white,0
618.4294447457341,319.96393880348927,white,0
636.479433914389,328.13788283068374,white,0
654.1684232996708,336.2195685773343,white,0
671.5036328972469,344.21084120905186,white,0.0
370.66666666666663,328.07122059999995,white,110.0
688.4921383028716,352.1135089881351,white,0.0
370.66666666666663,328.21223738799995,white,110.0
705.1408736003838,359.9293440116367,white,0.0
370.66666666666663,328.42165444024,white,110.0
721.4566341919456,367.66008293466825,white,0.0
370.66666666666663,328.69810375143516,white,110.0
737.4460795716764,375.30742767923914,white,0.0
370.66666666666663,329.0402446764065,white,110.0
753.1157360438124,382.87304612891865,white,0.0
370.66666666666663,329.4467633828783,white,110.0
370.66666666666663,329.91637231522077,white,110.0
370.66666666666663,330.4478096689163,white,110.0
370.66666666666663,331.039838875538,white,110.0
370.66666666666663,331.69124809802724,white,110.0
370.66666666666663,332.40084973606673,white,110.0
370.66666666666663,333.1674799413454,white,110.0
370.66666666666663,333.9899981425185,white,110.0
370.66666666666663,334.86728657966813,white,110.0
370.66666666666663,335.79824984807476,white,110.0
366.0,377.4045539333333,red,100.0
366.0,377.54557072133326,red,100.0
366.0,377.75498777357325,red,100.0
366.0,378.0314370847684,red,100.0
366.0,378.37357800973973,red,100.0
366.0,378.7800967162116,red,100.0
366.0,379.249705648554,red,100.0
366.0,379.7811430022496,red,100.0
366.0,380.37317220887127,red,100.0
366.0,381.0245814313605,red,100.0
366.0,381.73418306939993,red,100.0
366.0,382.50081327467853,red,100.0
366.0,383.32333147585166,red,100.0
366.0,384.2006199130013,red,100.0
366.0,385.1315831814079,red,100.0
370.0,327.4045539333333,white,110.0
370.0,327.5455707213333,white,110.0
370.0,327.7549877735733,white,110.0
370.0,328.0314370847685,white,110.0
370.0,328.3735780097398,white,110.0
370.0,328.7800967162117,white,110.0
370.0,329.2497056485541,white,110.0
370.0,329.7811430022497,white,110.0
370.0,330.3731722088713,white,110.0
370.0,331.0245814313606,white,110.0
370.0,331.73418306940005,white,110.0
370.0,332.50081327467876,white,110.0
370.0,333.32333147585183,white,110.0
370.0,334.20061991300145,white,110.0
370.0,335.13158318140813,white,110.0
364.66666666666663,377.4045539333333,red,100.0
364.66666666666663,377.54557072133326,red,100.0
364.66666666666663,377.75498777357325,red,100.0
364.66666666666663,378.0314370847684,red,100.0
364.66666666666663,378.37357800973973,red,100.0
364.66666666666663,378.7800967162116,red,100.0
364.66666666666663,379.249705648554,red,100.0
364.66666666666663,379.7811430022496,red,100.0
364.66666666666663,380.37317220887127,red,100.0
364.66666666666663,381.0245814313605,red,100.0
364.66666666666663,381.73418306939993,red,100.0
364.66666666666663,382.50081327467853,red,100.0
364.66666666666663,370.9037406586547,red,100.0
364.66666666666663,365.32729377080307,red,100.0
364.66666666666663,359.93359642070845,red,0
364.66666666666663,354.71899361761575,red,0
364.66666666666663,349.67990347058486,red,0
364.66666666666663,344.8128157264946,red,0
364.66666666666663,340.1142903372861,red,220.0
364.66666666666663,335.5809560558618,red,220.0
364.66666666666663,331.209509060066,red,220.0
364.66666666666663,326.9967116041861,red,220.0
364.66666666666663,322.93939069742385,red,220.0
364.66666666666663,319.0344368087968,red,220.0
364.66666666666663,315.2788025979423,red,0
364.66666666666663,311.66950167130483,red,0
364.66666666666663,308.20360736320015,red,0
376.0,283.4045539333333,white,30.0
376.0,283.5455707213333,white,30.0
376.0,283.7549877735733,white,30.0
376.0,284.0314370847685,white,30.0
376.0,284.3735780097398,white,30.0
376.0,284.7800967162117,white,30.0
376.0,285.2497056485541,white,30.0
376.0,285.7811430022497,white,30.0
376.0,286.3731722088713,white,30.0
376.0,287.0245814313606,white,30.0
376.0,287.73418306940005,white,30.0
376.0,288.50081327467876,white,30.0
376.0,289.32333147585183,white,30.0
376.0,290.20061991300145,white,30.0
376.0,291.13158318140813,white,30.0
376.66666666666663,283.4045539333333,white,30.0
376.66666666666663,283.5455707213333,white,30.0
376.66666666666663,283.7549877735733,white,30.0
376.66666666666663,284.0314370847685,white,30.0
376.66666666666663,284.3735780097398,white,30.0
376.66666666666663,284.7800967162117,white,30.0
376.66666666666663,285.2497056485541,white,30.0
376.66666666666663,285.7811430022497,white,30.0
376.66666666666663,286.3731722088713,white,30.0
376.66666666666663,287.0245814313606,white,30.0
376.66666666666663,287.73418306940005,white,30.0
376.66666666666663,288.50081327467876,white,30.0
376.66666666666663,289.32333147585183,white,30.0
376.66666666666663,290.20061991300145,white,30.0
376.66666666666663,291.13158318140813,white,30.0
364.0,378.73788726666663,red,100.0
364.0,378.8789040546666,red,100.0
365.3333333333333,377.19231654533337,red,100.0
365.9866666666667,376.4720073597601,red,100.0
366.62693333333334,375.8373249578983,red,100.0
367.2543946666667,375.2865568040737,red,100.0
367.8693067733334,374.81802461332563,red,100.0
368.4719206378667,374.4300836663925,red,100.0
369.06248222510936,374.12112213839805,red,100.0
369.64123258060715,373.88956044096346,red,100.0
370.20840792899503,373.7338505774776,red,100.0
370.76423977041514,373.6524755112614,red,100.0
371.3089549750068,373.64394854636953,red,100.0
371.8427758755066,373.7068127207755,red,100.0
372.3659203579965,373.83964021169334,red,100.0
372.87860195083664,374.0410317527929,red,100.0
373.38102991181995,374.3096160630704,red,100.0
364.66666666666663,378.73788726666663,red,100.0
364.66666666666663,378.8789040546666,red,100.0
364.66666666666663,379.08832110690656,red,100.0
364.66666666666663,379.3647704181017,red,100.0
364.66666666666663,379.70691134307305,red,100.0
364.66666666666663,380.1134300495449,red,100.0
364.66666666666663,380.58303898188734,red,100.0
364.66666666666663,381.11447633558294,red,100.0
364.66666666666663,381.7065055422046,red,100.0
364.66666666666663,382.3579147646938,red,100.0
364.66666666666663,383.06751640273325,red,100.0
364.66666666666663,383.8341466080119,red,100.0
364.66666666666663,384.65666480918503,red,100.0
364.66666666666663,385.5339532463346,red,100.0
364.66666666666663,386.4649165147412,red,100.0
364.0,378.07122059999995,red,100.0
364.0,378.21223738799995,red,100.0
364.0,378.4216544402399,red,100.0
364.0,378.69810375143504,red,100.0
364.0,379.04024467640636,red,100.0
364.0,379.4467633828782,red,100.0
364.0,379.91637231522066,red,100.0
364.0,380.4478096689163,red,100.0
364.0,381.03983887553795,red,100.0
364.0,381.69124809802713,red,100.0
364.0,382.40084973606656,red,100.0
364.0,383.1674799413452,red,100.0
364.0,383.98999814251835,red,100.0
364.0,384.86728657966796,red,100.0
364.0,385.79824984807453,red,100.0
365.3333333333333,378.73788726666663,red,100.0
365.3333333333333,378.8789040546666,red,100.0
365.3333333333333,379.08832110690656,red,100.0
365.3333333333333,379.3647704181017,red,100.0
365.3333333333333,379.70691134307305,red,100.0
365.3333333333333,380.1134300495449,red,100.0
365.3333333333333,380.58303898188734,red,100.0
365.3333333333333,381.11447633558294,red,100.0
365.3333333333333,381.7065055422046,red,100.0
365.3333333333333,382.3579147646938,red,100.0
365.3333333333333,383.06751640273325,red,100.0
365.3333333333333,383.8341466080119,red,100.0
365.3333333333333,384.65666480918503,red,100.0
365.3333333333333,385.5339532463346,red,100.0
365.3333333333333,386.4649165147412,red,100.0
366.0,378.07122059999995,red,100.0
366.0,378.21223738799995,red,100.0
366.0,378.4216544402399,red,100.0
366.0,378.69810375143504,red,100.0
366.0,379.04024467640636,red,100.0
366.0,379.4467633828782,red,100.0
362.0,375.2911238837884,red,100.0
360.03999999999996,373.3609792232344,red,100.0
358.1191999999999,371.5406580558914,red,100.0
356.2368159999999,369.8279639118953,red,100.0
354.39207967999994,368.22074425077915,red,0
352.5842380863999,366.7168895828853,red,0
350.8125533246719,365.3143326083494,red,0
349.0763022581785,364.01104737330417,red,0
347.3747762130149,362.80504844295984,red,0
345.70728068875457,361.69439009122243,red,0
344.0731350749795,360.6771655065197,red,0
342.4716723734799,359.75150601351106,red,0
340.90223892601034,358.91558031036254,red,0
339.36419414749014,358.16759372127706,red,0
337.8569102645403,357.5057874639733,red,0
364.66666666666663,379.4045539333333,red,100.0
364.66666666666663,379.54557072133326,red,100.0
364.66666666666663,379.75498777357325,red,100.0
364.66666666666663,380.0314370847684,red,100.0
364.66666666666663,380.37357800973973,red,100.0
364.66666666666663,380.7800967162116,red,100.0
364.66666666666663,381.249705648554,red,100.0
364.66666666666663,381.7811430022496,red,100.0
364.66666666666663,382.37317220887127,red,100.0
364.66666666666663,383.0245814313605,red,100.0
364.66666666666663,383.73418306939993,red,100.0
364.66666666666663,384.50081327467853,red,100.0
364.66666666666663,385.32333147585166,red,100.0
364.66666666666663,386.2006199130013,red,100.0
364.66666666666663,387.1315831814079,red,0
364.0,376.73788726666663,red,100.0
364.0,376.8789040546666,red,100.0
364.0,377.08832110690656,red,100.0
364.0,377.3647704181017,red,100.0
364.0,377.70691134307305,red,100.0
364.0,378.1134300495449,red,100.0
364.0,378.58303898188734,red,100.0
364.0,379.11447633558294,red,100.0
364.0,379.7065055422046,red,100.0
364.0,380.3579147646938,red,100.0
364.0,381.06751640273325,red,100.0
364.0,381.8341466080119,red,100.0
364.0,382.65666480918503,red,100.0
364.0,383.5339532463346,red,100.0
364.0,384.4649165147412,red,100.0
365.3333333333333,378.07122059999995,red,100.0
365.3333333333333,378.21223738799995,red,100.0
365.3333333333333,378.4216544402399,red,100.0
365.3333333333333,378.69810375143504,red,100.0
365.3333333333333,379.04024467640636,red,100.0
365.3333333333333,379.4467633828782,red,100.0
365.3333333333333,379.91637231522066,red,100.0
365.3333333333333,380.4478096689163,red,100.0
365.3333333333333,381.03983887553795,red,100.0
365.3333333333333,381.69124809802713,red,100.0
365.3333333333333,382.40084973606656,red,100.0
365.3333333333333,383.1674799413452,red,100.0
365.3333333333333,383.98999814251835,red,100.0
365.3333333333333,384.86728657966796,red,100.0
365.3333333333333,385.79824984807453,red,100.0
370.0,328.73788726666663,white,110.0
370.0,328.87890405466663,white,110.0
370.0,329.0883211069066,white,110.0
370.0,329.36477041810184,white,110.0
370.0,329.7069113430731,white,110.0
370.0,330.113430049545,white,110.0
370.0,330.5830389818874,white,110.0
370.0,331.114476335583,white,110.0
370.0,331.7065055422047,white,110.0
370.0,332.35791476469393,white,110.0
370.0,333.0675164027334,white,110.0
370.0,333.8341466080121,white,110.0
370.0,334.65666480918514,white,110.0
370.0,335.5339532463348,white,110.0
370.0,336.46491651474145,white,110.0
370.66666666666663,327.4045539333333,white,110.0
370.66666666666663,327.5455707213333,white,110.0
370.66666666666663,327.7549877735733,white,110.0
370.66666666666663,328.0314370847685,white,110.0
370.66666666666663,328.3735780097398,white,110.0
370.66666666666663,328.7800967162117,white,110.0
370.66666666666663,329.2497056485541,white,110.0
370.66666666666663,329.7811430022497,white,110.0
370.66666666666663,330.3731722088713,white,110.0
370.66666666666663,331.0245814313606,white,110.0
370.66666666666663,331.73418306940005,white,110.0
370.66666666666663,332.50081327467876,white,110.0
370.66666666666663,333.32333147585183,white,110.0
370.66666666666663,334.20061991300145,white,110.0
370.66666666666663,335.13158318140813,white,110.0
366.66666666666663,376.73788726666663,red,100.0
366.66666666666663,376.8789040546666,red,100.0
366.66666666666663,377.08832110690656,red,100.0
366.66666666666663,377.3647704181017,red,100.0
366.66666666666663,377.70691134307305,red,100.0
366.66666666666663,378.1134300495449,red,100.0
366.66666666666663,378.58303898188734,red,100.0
366.66666666666663,379.11447633558294,red,100.0
366.66666666666663,379.7065055422046,red,100.0
366.66666666666663,380.3579147646938,red,100.0
366.66666666666663,381.06751640273325,red,100.0
366.66666666666663,381.8341466080119,red,100.0
366.66666666666663,382.65666480918503,red,100.0
366.66666666666663,383.5339532463346,red,100.0
366.66666666666663,384.4649165147412,red,100.0
366.0,376.73788726666663,red,100.0
366.0,376.8789040546666,red,100.0
366.0,377.08832110690656,red,100.0
366.0,377.3647704181017,red,100.0
366.0,377.70691134307305,red,100.0
366.0,378.1134300495449,red,100.0
366.0,378.58303898188734,red,100.0
366.0,379.11447633558294,red,100.0
366.0,379.7065055422046,red,100.0
366.0,380.3579147646938,red,100.0
366.0,381.06751640273325,red,100.0
366.0,381.8341466080119,red,100.0
366.0,382.65666480918503,red,100.0
